"Reservoir","Site","DateTime","Depth_m","Rep","TN_ugL","TP_ugL","NH4_ugL","NO3NO2_ugL","SRP_ugL","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_DateTime","Flag_TN","Flag_TP","Flag_NH4","Flag_NO3NO2","Flag_SRP","Flag_DOC","Flag_DIC","Flag_DC","Flag_DN"
"FCR",50,2013-04-04 12:00:00,0.8,1,NA,32.3,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"FCR",50,2013-04-04 12:00:00,1.6,1,NA,30.7,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"FCR",50,2013-04-04 12:00:00,2.8,1,NA,35.6,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"FCR",50,2013-04-04 12:00:00,5,1,NA,35.6,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"FCR",50,2013-04-04 12:00:00,6.2,1,NA,42.2,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"FCR",50,2013-04-04 12:00:00,8,1,NA,47.9,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"FCR",50,2013-04-11 12:00:00,0.1,1,NA,27,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"FCR",50,2013-04-11 12:00:00,0.8,1,NA,31.1,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"FCR",50,2013-04-11 12:00:00,1.6,1,NA,60.3,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"FCR",50,2013-04-11 12:00:00,2.8,1,NA,45.2,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"FCR",50,2013-04-11 12:00:00,3.8,1,NA,27,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"FCR",50,2013-04-11 12:00:00,5,1,NA,30.1,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
