"Reservoir","Site","DateTime","Depth_m","Temp_C","DO_mgL","DOSat","Cond_uScm","Sp_cond_uScm","PAR_umolm2s","ORP_mV","pH","Flag_DateTime","Flag_Temp","Flag_DO","Flag_DOSat","Flag_Cond","Flag_Sp_Cond","Flag_PAR","Flag_ORP","Flag_pH"
"FCR",50,2013-08-01 12:00:00,0.5,NA,8.12,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,1,NA,8.19,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,1.5,NA,7.57,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,2,NA,10.82,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,2.5,NA,9.57,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,3,NA,3.17,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,3.5,NA,1.31,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,4,NA,1.55,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,4.5,NA,2.08,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,5,NA,3.19,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,5.5,NA,4.4,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,6,NA,4.66,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,6.5,NA,4.71,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,7,NA,4.29,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,7.5,NA,3.73,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,8,NA,4.14,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,8.5,NA,2.92,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,9,NA,1.81,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-01 12:00:00,9.5,NA,0.12,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-05 12:00:00,0.5,NA,7.67,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-05 12:00:00,1,NA,7.81,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-05 12:00:00,1.5,NA,7.82,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-05 12:00:00,2,NA,11.33,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-05 12:00:00,2.5,NA,11.66,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-05 12:00:00,3,NA,10.81,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-05 12:00:00,3.5,NA,5.85,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-05 12:00:00,4,NA,2.19,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-05 12:00:00,4.5,NA,2.06,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-05 12:00:00,5,NA,2.49,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-05 12:00:00,5.5,NA,4.1,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
"FCR",50,2013-08-05 12:00:00,6,NA,4.61,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1
