"Reservoir","Site","DateTime","Secchi_m","Flag_DateTime","Flag_Secchi"
"FCR",50,2013-10-16 08:00:00,2,0,0
"FCR",50,2013-10-29 08:00:00,1.75,0,0
"FCR",50,2014-04-08 08:00:00,2.5,0,0
"FCR",50,2014-04-16 08:00:00,2.7,0,0
"FCR",50,2014-04-21 08:00:00,2.5,0,0
"FCR",50,2014-04-27 08:00:00,3.5,0,0
"FCR",50,2014-04-30 08:00:00,3,0,0
"FCR",50,2014-05-05 08:00:00,2.75,0,0
"FCR",50,2014-05-12 08:00:00,2.5,0,0
"FCR",50,2014-05-26 08:00:00,2.75,0,0
"FCR",50,2014-06-02 08:00:00,2.75,0,0
"FCR",50,2014-06-02 08:00:00,2.75,0,0
"FCR",50,2014-06-09 08:00:00,2.7,0,0
"FCR",50,2014-06-09 08:00:00,2.7,0,0
"FCR",50,2014-06-16 08:00:00,3,0,0
"FCR",50,2014-06-16 08:00:00,3,0,0
"FCR",50,2014-06-23 08:00:00,3,0,0
"FCR",50,2014-06-23 08:00:00,3,0,0
"FCR",50,2014-06-30 08:00:00,3.25,0,0
"FCR",50,2014-06-30 08:00:00,3.25,0,0
"FCR",50,2014-07-07 08:00:00,3.25,0,0
"FCR",50,2014-07-14 08:00:00,3.25,0,0
"FCR",50,2014-07-14 08:00:00,3.25,0,0
"FCR",50,2014-07-21 08:00:00,3.12,0,0
"FCR",50,2014-07-28 08:00:00,3,0,0
"FCR",50,2014-07-28 08:00:00,3,0,0
"FCR",50,2014-08-04 08:00:00,3.2,0,0
"FCR",50,2014-08-04 08:00:00,3.2,0,0
"FCR",50,2014-08-11 08:00:00,2.8,0,0
"FCR",50,2014-08-11 08:00:00,2.8,0,0
"FCR",50,2014-08-18 08:00:00,2.55,0,0
"FCR",50,2014-08-25 08:00:00,2.3,0,0
"FCR",50,2014-08-25 08:00:00,2.3,0,0
"FCR",50,2014-09-03 08:00:00,3.2,0,0
"FCR",50,2014-09-03 08:00:00,3.2,0,0
"FCR",50,2014-09-08 08:00:00,2.8,0,0
"FCR",50,2014-09-15 08:00:00,2.4,0,0
"FCR",50,2014-09-15 08:00:00,2.4,0,0
"FCR",50,2014-09-22 08:00:00,2,0,0
"FCR",50,2014-09-22 08:00:00,2,0,0
"FCR",50,2014-09-29 08:00:00,1.7,0,0
"FCR",50,2014-10-04 08:00:00,1.3,0,0
"FCR",50,2014-10-15 08:00:00,1.1,0,0
"FCR",50,2014-10-23 08:00:00,1.1,0,0
"FCR",50,2014-11-10 07:00:00,1,0,0
"FCR",50,2015-02-05 07:00:00,1.75,0,0
"FCR",50,2015-03-06 07:00:00,1.8,0,0
"FCR",50,2015-03-31 08:00:00,2,0,0
"FCR",50,2015-04-07 08:00:00,2.25,0,0
"FCR",50,2015-04-13 08:00:00,2.1,0,0
"FCR",50,2015-04-21 08:00:00,1.4,0,0
"FCR",50,2015-04-25 08:00:00,1.5,0,0
"FCR",50,2015-04-28 08:00:00,2,0,0
"FCR",50,2015-05-04 08:00:00,2.5,0,0
"FCR",50,2015-05-04 08:00:00,2.5,0,0
"FCR",50,2015-05-05 08:00:00,2.5,0,0
"FCR",50,2015-05-11 08:00:00,3,0,0
"FCR",50,2015-05-11 08:00:00,3,0,0
"FCR",50,2015-05-18 08:00:00,2.8,0,0
"FCR",50,2015-05-18 08:00:00,2.8,0,0
"FCR",50,2015-05-25 08:00:00,2.5,0,0
"FCR",50,2015-05-25 08:00:00,2.5,0,0
"FCR",50,2015-06-01 08:00:00,2.9,0,0
"FCR",50,2015-06-01 08:00:00,2.9,0,0
"FCR",50,2015-06-08 08:00:00,1.7,0,0
"FCR",50,2015-06-08 08:00:00,1.7,0,0
"FCR",50,2015-06-15 08:00:00,2.4,0,0
"FCR",50,2015-06-15 08:00:00,2.4,0,0
"FCR",50,2015-06-22 08:00:00,2.33,0,0
"FCR",50,2015-06-22 08:00:00,2.33,0,0
"FCR",50,2015-06-22 08:00:00,2.33,0,0
"FCR",50,2015-06-29 08:00:00,2.45,0,0
"FCR",50,2015-06-29 08:00:00,2.45,0,0
"FCR",50,2015-07-06 08:00:00,1.24,0,0
"FCR",50,2015-07-06 08:00:00,1.24,0,0
"FCR",50,2015-07-13 08:00:00,1.35,0,0
